[2014-09-16 12:10:53] START
[2014-09-23 15:21:30] EDIT Practical1Part4/views/default/index.html: 0
[2014-10-16 16:41:07] EDIT Practical2/models/db.py: 0
[2014-10-16 16:41:21] EDIT Practical2/models/db.py: 0
[2014-10-16 16:43:47] EDIT Practical2/models/db.py: -4
[2014-10-16 16:45:36] EDIT Practical2/models/db.py: 5
[2014-10-16 16:46:23] EDIT Practical2/models/db.py: 0
[2014-10-16 16:48:22] EDIT Practical2/models/db.py: -27
[2014-10-16 17:05:22] EDIT Practical2/models/db.py: 2
[2014-10-16 17:05:52] EDIT Practical2/models/db.py: 1
[2014-10-16 17:05:54] EDIT Practical2/models/db.py: 0
[2014-10-16 17:05:54] EDIT Practical2/models/db.py: 0
[2014-10-16 17:05:55] EDIT Practical2/models/db.py: 0
[2014-10-16 17:06:07] EDIT Practical2/models/db.py: -1
[2014-10-16 17:06:17] EDIT Practical2/models/db.py: 0
[2014-10-16 17:16:41] EDIT Practical2/controllers/default.py: -15
[2014-10-16 17:20:18] EDIT Practical2/views/default/index.html: -5
[2014-10-16 17:23:36] EDIT Practical2/views/default/index.html: -2
[2014-10-16 17:24:45] EDIT Practical2/views/default/index.html: 0
[2014-10-16 17:25:37] EDIT Practical2/views/default/index.html: 0
[2014-10-16 17:26:01] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:29:06] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:29:14] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:29:41] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:30:03] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:32:15] EDIT Practical2/controllers/default.py: 0
[2014-10-16 17:33:59] EDIT Practical2/views/default/index.html: 0
[2014-10-16 17:36:11] EDIT Practical2/controllers/store.py: 0
[2014-10-16 17:38:44] EDIT Practical2/controllers/store.py: 0
[2014-10-16 17:41:52] EDIT Practical2/views/store/books.html: -136
[2014-10-16 17:42:12] EDIT Practical2/views/store/videos.html: -138
[2014-10-16 17:42:50] EDIT Practical2/views/store/videos.html: 0
[2014-10-16 17:44:48] EDIT Practical2/controllers/store.py: 0
[2014-10-16 17:45:06] EDIT Practical2/controllers/store.py: 0
[2014-10-16 17:45:11] EDIT Practical2/controllers/store.py: 0
[2014-10-16 17:46:08] EDIT Practical2/views/store/videos.html: 1
[2014-10-16 17:46:17] EDIT Practical2/views/store/videos.html: 0
[2014-10-16 18:02:40] EDIT Practical2/views/store/videos.html: 0
[2014-10-23 16:42:02] CREATE search.html: 0
[2014-10-23 16:42:39] EDIT Practical3/controllers/default.py: 2
[2014-10-23 16:43:46] EDIT Practical3/views/congo-layout.html: 1
[2014-10-23 16:45:14] EDIT Practical3/views/congo-layout.html: 0
[2014-10-23 16:47:48] EDIT Practical3/views/search.html: -2
[2014-10-23 16:48:44] EDIT Practical3/views/search.html: 3
[2014-10-23 16:56:44] EDIT Practical3/views/search.html: 4
[2014-10-23 16:57:51] CREATE default/search.html: 0
[2014-10-23 16:58:05] EDIT Practical3/views/default/search.html: 5
[2014-10-23 17:00:00] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:00:17] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:15:57] EDIT Practical3/views/default/search.html: 1
[2014-10-23 17:19:05] EDIT Practical3/controllers/default.py: 0
[2014-10-23 17:19:23] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:20:09] EDIT Practical3/views/default/search.html: -1
[2014-10-23 17:21:53] EDIT Practical3/views/default/search.html: 3
[2014-10-23 17:22:35] EDIT Practical3/views/default/search.html: 1
[2014-10-23 17:22:52] EDIT Practical3/views/default/search.html: -1
[2014-10-23 17:24:19] EDIT Practical3/views/default/search.html: -7
[2014-10-23 17:24:25] EDIT Practical3/views/default/search.html: -2
[2014-10-23 17:30:17] EDIT Practical3/views/default/search.html: 3
[2014-10-23 17:30:33] EDIT Practical3/controllers/default.py: 1
[2014-10-23 17:31:27] EDIT Practical3/controllers/default.py: 0
[2014-10-23 17:31:30] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:31:53] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:32:11] EDIT Practical3/controllers/default.py: 0
[2014-10-23 17:36:41] EDIT Practical3/controllers/default.py: 6
[2014-10-23 17:37:49] EDIT Practical3/views/default/search.html: 4
[2014-10-23 17:38:09] EDIT Practical3/views/default/search.html: 0
[2014-10-23 17:40:41] EDIT Practical3/views/default/search.html: -5
[2014-10-23 17:41:20] EDIT Practical3/views/default/search.html: 1
[2014-10-23 17:41:52] EDIT Practical3/controllers/default.py: 0
[2014-10-23 17:42:24] EDIT Practical3/controllers/default.py: 0
